SampleID	ERR1328347	ERR1328355	ERR1328364	ERR1328369	ERR1328374	ERR1328375	ERR1328379	ERR1328381	ERR1328382	ERR1328385	ERR1328387	ERR1328388	ERR1328389	ERR1328390	ERR1328391	ERR1328392	ERR1328393	ERR1328396	ERR1328397	ERR1328398	ERR1328399	ERR1328400	ERR1328402	ERR1328404	ERR1328405	ERR1328407	ERR1328408	ERR1328409	ERR1328411	ERR1328414	ERR1328416	ERR1328418	ERR1328419	ERR1328420	ERR1328421	ERR1328422	ERR1328425	ERR1328427	ERR1328430	ERR1328431	ERR1328432	ERR1328433	ERR1328434	ERR1328435
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus	0	4	1	0	518	326	0	0	0	267	0	1	99	0	103	0	1	1191	845	0	0	0	33	94	0	62	0	609	2	1	1	0	536	2	190	1	0	496	22	2	0	0	161	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans	14	34	147	106	50	39	24	14	0	23	13	58	23	54	9	35	52	25	146	39	3	91	50	47	61	12	86	10	30	15	51	8	17	0	59	25	28	41	62	18	87	19	32	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella;s__peoriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__faecis	15	3	1	2	1	2	1	3	0	12	2	3	1	0	2	0	4	14	3	3	0	11	22	0	9	8	0	6	7	1	11	0	8	2	0	4	4	5	0	2	5	6	5	1
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia;s__satelles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus	101	56	409	643	122	156	73	46	200	128	76	83	122	183	59	90	106	153	657	57	19	217	119	60	65	84	275	30	144	57	89	98	147	38	139	54	43	70	109	20	85	270	49	24
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques	4	18	46	212	9	1	142	56	0	0	0	20	0	99	1	74	39	0	0	0	20	0	0	0	7	1	268	0	0	0	0	37	0	0	1	30	0	0	8	1	71	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium;s__maritimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
